destination_iso_country,Day of date,fl_ranking,fl_wow_change,fl_yoy_change,destination_country,flights_number_7days
KI,"February 4, 2020",8,100.00%,42.86%,Kiribati,10
FM,"February 4, 2020",9,12.50%,-65.38%,Micronesia (Federated States of),9
FJ,"February 4, 2020",2,-1.88%,6.08%,Fiji,314
WS,"February 5, 2020",5,-31.43%,4.35%,Samoa,24
VU,"February 5, 2020",3,1.49%,6.25%,Vanuatu,68
TV,"February 5, 2020",12,0.00%,0.00%,Tuvalu,3
TO,"February 5, 2020",4,-48.98%,78.57%,Tonga,25
SB,"February 5, 2020",7,-9.52%,-20.83%,Solomon Islands,19
PW,"February 5, 2020",6,-4.76%,-4.76%,Palau,20
PG,"February 5, 2020",1,-6.91%,36.39%,Papua New Guinea,431
NR,"February 5, 2020",11,66.67%,-54.55%,Nauru,5
MH,"February 5, 2020",10,0.00%,-37.50%,Marshall Islands (the),5
KI,"February 5, 2020",8,66.67%,25.00%,Kiribati,10
FM,"February 5, 2020",9,12.50%,-65.38%,Micronesia (Federated States of),9
FJ,"February 5, 2020",2,-1.58%,6.85%,Fiji,312
WS,"February 6, 2020",4,-27.27%,4.35%,Samoa,24
VU,"February 6, 2020",3,-7.46%,-3.13%,Vanuatu,62
TV,"February 6, 2020",12,0.00%,0.00%,Tuvalu,3
TO,"February 6, 2020",5,-55.32%,50.00%,Tonga,21
SB,"February 6, 2020",7,-9.52%,-20.83%,Solomon Islands,19
PW,"February 6, 2020",6,-9.52%,-9.52%,Palau,19
PG,"February 6, 2020",1,-1.34%,41.21%,Papua New Guinea,442
NR,"February 6, 2020",11,25.00%,-50.00%,Nauru,5
MH,"February 6, 2020",10,0.00%,-37.50%,Marshall Islands (the),5
KI,"February 6, 2020",9,0.00%,0.00%,Kiribati,8
FM,"February 6, 2020",8,12.50%,-65.38%,Micronesia (Federated States of),9
FJ,"February 6, 2020",2,-0.65%,6.21%,Fiji,308
WS,"February 7, 2020",4,-27.27%,9.09%,Samoa,24
VU,"February 7, 2020",3,-15.71%,-7.81%,Vanuatu,59
TV,"February 7, 2020",12,0.00%,0.00%,Tuvalu,3
TO,"February 7, 2020",7,-63.64%,6.67%,Tonga,16
SB,"February 7, 2020",5,0.00%,-16.67%,Solomon Islands,20
PW,"February 7, 2020",6,-9.52%,-5.00%,Palau,19
PG,"February 7, 2020",1,0.46%,37.42%,Papua New Guinea,437
NR,"February 7, 2020",11,66.67%,-44.44%,Nauru,5
MH,"February 7, 2020",10,20.00%,-14.29%,Marshall Islands (the),6
KI,"February 7, 2020",9,-11.11%,0.00%,Kiribati,8
FM,"February 7, 2020",8,12.50%,-66.67%,Micronesia (Federated States of),9
FJ,"February 7, 2020",2,-4.10%,5.56%,Fiji,304
WS,"February 8, 2020",4,-14.29%,-4.00%,Samoa,24
VU,"February 8, 2020",3,-9.09%,-6.25%,Vanuatu,60
TV,"February 8, 2020",12,0.00%,0.00%,Tuvalu,3
TO,"February 8, 2020",7,-68.18%,-12.50%,Tonga,14
SB,"February 8, 2020",5,0.00%,-16.67%,Solomon Islands,20
PW,"February 8, 2020",6,-14.29%,-5.26%,Palau,18
PG,"February 8, 2020",1,7.66%,38.46%,Papua New Guinea,450
NR,"February 8, 2020",11,133.33%,-22.22%,Nauru,7
MH,"February 8, 2020",9,100.00%,14.29%,Marshall Islands (the),8
KI,"February 8, 2020",8,-11.11%,0.00%,Kiribati,8
FM,"February 8, 2020",10,-22.22%,-74.07%,Micronesia (Federated States of),7
FJ,"February 8, 2020",2,-0.65%,7.02%,Fiji,305
WS,"February 9, 2020",4,-14.81%,-4.17%,Samoa,23
VU,"February 9, 2020",3,-4.62%,-4.62%,Vanuatu,62
TV,"February 9, 2020",12,0.00%,0.00%,Tuvalu,3
TO,"February 9, 2020",7,-66.67%,-22.22%,Tonga,14
SB,"February 9, 2020",5,0.00%,-20.83%,Solomon Islands,19
PW,"February 9, 2020",6,-14.29%,-14.29%,Palau,18
PG,"February 9, 2020",1,10.58%,38.55%,Papua New Guinea,460
NR,"February 9, 2020",11,100.00%,-33.33%,Nauru,6
MH,"February 9, 2020",9,100.00%,14.29%,Marshall Islands (the),8
KI,"February 9, 2020",8,-11.11%,0.00%,Kiribati,8
FM,"February 9, 2020",10,-30.00%,-72.00%,Micronesia (Federated States of),7
FJ,"February 9, 2020",2,0.66%,8.13%,Fiji,306
WS,"February 10, 2020",4,-31.03%,-16.67%,Samoa,20
VU,"February 10, 2020",3,0.00%,1.54%,Vanuatu,66
TV,"February 10, 2020",12,0.00%,0.00%,Tuvalu,3
TO,"February 10, 2020",7,-61.11%,-22.22%,Tonga,14
SB,"February 10, 2020",6,-10.00%,-21.74%,Solomon Islands,18
PW,"February 10, 2020",5,-14.29%,-14.29%,Palau,18
PG,"February 10, 2020",1,16.30%,42.73%,Papua New Guinea,471
NR,"February 10, 2020",11,25.00%,-44.44%,Nauru,5
MH,"February 10, 2020",10,40.00%,16.67%,Marshall Islands (the),7
KI,"February 10, 2020",9,-30.00%,-12.50%,Kiribati,7
FM,"February 10, 2020",8,-22.22%,-70.83%,Micronesia (Federated States of),7
FJ,"February 10, 2020",2,-1.62%,5.56%,Fiji,304
WS,"February 11, 2020",6,-35.71%,-21.74%,Samoa,18
VU,"February 11, 2020",3,-7.14%,0.00%,Vanuatu,65
TV,"February 11, 2020",12,0.00%,50.00%,Tuvalu,3
TO,"February 11, 2020",7,-51.72%,-22.22%,Tonga,14
SB,"February 11, 2020",4,-5.00%,-13.64%,Solomon Islands,19
PW,"February 11, 2020",5,-10.00%,-14.29%,Palau,18
PG,"February 11, 2020",1,13.04%,40.12%,Papua New Guinea,468
NR,"February 11, 2020",11,-20.00%,-60.00%,Nauru,4
MH,"February 11, 2020",10,40.00%,16.67%,Marshall Islands (the),7
KI,"February 11, 2020",8,-20.00%,0.00%,Kiribati,8
FM,"February 11, 2020",9,-22.22%,-70.83%,Micronesia (Federated States of),7
FJ,"February 11, 2020",2,-4.14%,4.51%,Fiji,301
WS,"February 12, 2020",4,-8.33%,-8.33%,Samoa,22
VU,"February 12, 2020",3,-2.94%,1.54%,Vanuatu,66
TV,"February 12, 2020",12,0.00%,50.00%,Tuvalu,3
TO,"February 12, 2020",7,-44.00%,-26.32%,Tonga,14
SB,"February 12, 2020",5,0.00%,-13.64%,Solomon Islands,19
PW,"February 12, 2020",6,-10.00%,-10.00%,Palau,18
PG,"February 12, 2020",1,7.66%,34.10%,Papua New Guinea,464
NR,"February 12, 2020",11,-20.00%,-60.00%,Nauru,4
MH,"February 12, 2020",10,40.00%,0.00%,Marshall Islands (the),7
KI,"February 12, 2020",9,-30.00%,16.67%,Kiribati,7
FM,"February 12, 2020",8,-22.22%,-72.00%,Micronesia (Federated States of),7
FJ,"February 12, 2020",2,-3.21%,4.14%,Fiji,302
WS,"February 13, 2020",4,-4.17%,-8.00%,Samoa,23
VU,"February 13, 2020",3,9.68%,9.68%,Vanuatu,68
TV,"February 13, 2020",12,0.00%,50.00%,Tuvalu,3
TO,"February 13, 2020",7,-33.33%,-44.00%,Tonga,14
SB,"February 13, 2020",5,0.00%,-13.64%,Solomon Islands,19
PW,"February 13, 2020",6,-5.26%,-10.00%,Palau,18
PG,"February 13, 2020",1,3.85%,29.66%,Papua New Guinea,459
NR,"February 13, 2020",11,-20.00%,-60.00%,Nauru,4
MH,"February 13, 2020",8,60.00%,14.29%,Marshall Islands (the),8
KI,"February 13, 2020",10,-12.50%,0.00%,Kiribati,7
FM,"February 13, 2020",9,-22.22%,-72.00%,Micronesia (Federated States of),7
FJ,"February 13, 2020",2,0.65%,7.64%,Fiji,310
WS,"February 14, 2020",4,-8.33%,-8.33%,Samoa,22
VU,"February 14, 2020",3,16.95%,16.95%,Vanuatu,69
TV,"February 14, 2020",12,0.00%,50.00%,Tuvalu,3
TO,"February 14, 2020",7,-12.50%,-48.15%,Tonga,14
SB,"February 14, 2020",5,-5.00%,-9.52%,Solomon Islands,19
PW,"February 14, 2020",6,-5.26%,-14.29%,Palau,18
PG,"February 14, 2020",1,8.92%,34.46%,Papua New Guinea,476
NR,"February 14, 2020",11,20.00%,-40.00%,Nauru,6
MH,"February 14, 2020",9,16.67%,-12.50%,Marshall Islands (the),7
KI,"February 14, 2020",10,-25.00%,-14.29%,Kiribati,6
FM,"February 14, 2020",8,-22.22%,-69.57%,Micronesia (Federated States of),7
FJ,"February 14, 2020",2,1.32%,7.69%,Fiji,308
WS,"February 15, 2020",4,-8.33%,-12.00%,Samoa,22
VU,"February 15, 2020",3,20.00%,24.14%,Vanuatu,72
TV,"February 15, 2020",12,0.00%,50.00%,Tuvalu,3
TO,"February 15, 2020",7,-7.14%,-55.17%,Tonga,13
SB,"February 15, 2020",6,-15.00%,-15.00%,Solomon Islands,17
PW,"February 15, 2020",5,0.00%,-18.18%,Palau,18
PG,"February 15, 2020",1,4.22%,32.11%,Papua New Guinea,469
NR,"February 15, 2020",11,-28.57%,-54.55%,Nauru,5
MH,"February 15, 2020",10,-25.00%,-25.00%,Marshall Islands (the),6
KI,"February 15, 2020",9,-25.00%,-14.29%,Kiribati,6
FM,"February 15, 2020",8,0.00%,-69.57%,Micronesia (Federated States of),7
FJ,"February 15, 2020",2,0.33%,7.37%,Fiji,306
WS,"February 16, 2020",4,0.00%,0.00%,Samoa,23
VU,"February 16, 2020",3,14.52%,36.54%,Vanuatu,71
TV,"February 16, 2020",12,0.00%,50.00%,Tuvalu,3
TO,"February 16, 2020",7,-14.29%,-57.14%,Tonga,12
SB,"February 16, 2020",6,-5.26%,-10.00%,Solomon Islands,18
PW,"February 16, 2020",5,0.00%,-14.29%,Palau,18
PG,"February 16, 2020",1,1.09%,32.10%,Papua New Guinea,465
NR,"February 16, 2020",11,-16.67%,-54.55%,Nauru,5
MH,"February 16, 2020",10,-25.00%,-25.00%,Marshall Islands (the),6
KI,"February 16, 2020",9,-25.00%,-25.00%,Kiribati,6
FM,"February 16, 2020",8,0.00%,-72.00%,Micronesia (Federated States of),7
FJ,"February 16, 2020",2,0.33%,8.48%,Fiji,307
WS,"February 17, 2020",4,15.00%,-4.17%,Samoa,23
VU,"February 17, 2020",3,1.52%,36.73%,Vanuatu,67
TV,"February 17, 2020",12,-33.33%,0.00%,Tuvalu,2
TO,"February 17, 2020",7,-14.29%,-60.00%,Tonga,12
SB,"February 17, 2020",6,0.00%,-10.00%,Solomon Islands,18
PW,"February 17, 2020",5,0.00%,-14.29%,Palau,18
PG,"February 17, 2020",1,-0.64%,32.20%,Papua New Guinea,468
NR,"February 17, 2020",11,0.00%,-54.55%,Nauru,5
MH,"February 17, 2020",10,-14.29%,-33.33%,Marshall Islands (the),6
KI,"February 17, 2020",9,-14.29%,-25.00%,Kiribati,6
FM,"February 17, 2020",8,0.00%,-73.08%,Micronesia (Federated States of),7
FJ,"February 17, 2020",2,-1.64%,7.17%,Fiji,299
WS,"February 18, 2020",4,27.78%,-11.54%,Samoa,23
VU,"February 18, 2020",3,3.08%,45.65%,Vanuatu,67
TV,"February 18, 2020",12,-33.33%,-33.33%,Tuvalu,2
TO,"February 18, 2020",7,-14.29%,-64.71%,Tonga,12
SB,"February 18, 2020",6,-10.53%,-19.05%,Solomon Islands,17
PW,"February 18, 2020",5,5.56%,-13.64%,Palau,19
PG,"February 18, 2020",1,0.00%,30.36%,Papua New Guinea,468
NR,"February 18, 2020",10,50.00%,-40.00%,Nauru,6
MH,"February 18, 2020",9,-14.29%,-45.45%,Marshall Islands (the),6
KI,"February 18, 2020",11,-37.50%,-37.50%,Kiribati,5
FM,"February 18, 2020",8,0.00%,-75.00%,Micronesia (Federated States of),7
FJ,"February 18, 2020",2,-1.00%,9.16%,Fiji,298
WS,"February 19, 2020",4,4.55%,-14.81%,Samoa,23
VU,"February 19, 2020",3,3.03%,47.83%,Vanuatu,68
TV,"February 19, 2020",12,-66.67%,-66.67%,Tuvalu,1
TO,"February 19, 2020",7,-14.29%,-66.67%,Tonga,12
SB,"February 19, 2020",6,-15.79%,-15.79%,Solomon Islands,16
PW,"February 19, 2020",5,5.56%,-13.64%,Palau,19
PG,"February 19, 2020",1,0.43%,32.76%,Papua New Guinea,466
NR,"February 19, 2020",10,50.00%,-25.00%,Nauru,6
MH,"February 19, 2020",9,-14.29%,-40.00%,Marshall Islands (the),6
KI,"February 19, 2020",11,-42.86%,-55.56%,Kiribati,4
FM,"February 19, 2020",8,0.00%,-72.00%,Micronesia (Federated States of),7
FJ,"February 19, 2020",2,-3.31%,8.55%,Fiji,292
WS,"February 20, 2020",4,4.35%,-22.58%,Samoa,24
VU,"February 20, 2020",3,0.00%,38.78%,Vanuatu,68
TV,"February 20, 2020",12,-66.67%,-66.67%,Tuvalu,1
TO,"February 20, 2020",7,-21.43%,-65.63%,Tonga,11
SB,"February 20, 2020",6,-26.32%,-26.32%,Solomon Islands,14
PW,"February 20, 2020",5,5.56%,-17.39%,Palau,19
PG,"February 20, 2020",1,2.40%,35.84%,Papua New Guinea,470
NR,"February 20, 2020",9,75.00%,0.00%,Nauru,7
MH,"February 20, 2020",10,-25.00%,-45.45%,Marshall Islands (the),6
KI,"February 20, 2020",11,-42.86%,-50.00%,Kiribati,4
FM,"February 20, 2020",8,0.00%,-72.00%,Micronesia (Federated States of),7
FJ,"February 20, 2020",2,-12.58%,1.88%,Fiji,271
WS,"February 21, 2020",5,-9.09%,-37.50%,Samoa,20
VU,"February 21, 2020",3,-2.90%,31.37%,Vanuatu,67
TV,"February 21, 2020",12,-66.67%,-66.67%,Tuvalu,1
TO,"February 21, 2020",7,-14.29%,-62.50%,Tonga,12
SB,"February 21, 2020",6,-31.58%,-38.10%,Solomon Islands,13
PW,"February 21, 2020",4,11.11%,-9.09%,Palau,20
PG,"February 21, 2020",1,-3.36%,37.31%,Papua New Guinea,460
NR,"February 21, 2020",10,0.00%,-25.00%,Nauru,6
MH,"February 21, 2020",9,-14.29%,-45.45%,Marshall Islands (the),6
KI,"February 21, 2020",11,-33.33%,-50.00%,Kiribati,4
FM,"February 21, 2020",8,0.00%,-73.08%,Micronesia (Federated States of),7
FJ,"February 21, 2020",2,-16.56%,-1.15%,Fiji,257
WS,"February 22, 2020",4,-4.55%,-34.38%,Samoa,21
VU,"February 22, 2020",3,-6.94%,34.00%,Vanuatu,67
TV,"February 22, 2020",12,-33.33%,-33.33%,Tuvalu,2
TO,"February 22, 2020",7,-7.69%,-63.64%,Tonga,12
SB,"February 22, 2020",6,-5.88%,-23.81%,Solomon Islands,16
PW,"February 22, 2020",5,11.11%,-4.76%,Palau,20
PG,"February 22, 2020",1,0.64%,41.74%,Papua New Guinea,472
NR,"February 22, 2020",10,0.00%,-28.57%,Nauru,5
MH,"February 22, 2020",9,-16.67%,-50.00%,Marshall Islands (the),5
KI,"February 22, 2020",11,-33.33%,-50.00%,Kiribati,4
FM,"February 22, 2020",8,0.00%,-73.08%,Micronesia (Federated States of),7
FJ,"February 22, 2020",2,-20.59%,-4.33%,Fiji,243
WS,"February 23, 2020",4,-4.35%,-35.29%,Samoa,22
VU,"February 23, 2020",3,-5.63%,19.64%,Vanuatu,67
TV,"February 23, 2020",12,-33.33%,-33.33%,Tuvalu,2
TO,"February 23, 2020",7,0.00%,-63.64%,Tonga,12
SB,"February 23, 2020",6,-11.11%,-27.27%,Solomon Islands,16
PW,"February 23, 2020",5,11.11%,-4.76%,Palau,20
PG,"February 23, 2020",1,-0.43%,40.73%,Papua New Guinea,463
NR,"February 23, 2020",10,0.00%,-28.57%,Nauru,5
MH,"February 23, 2020",9,-16.67%,-54.55%,Marshall Islands (the),5
KI,"February 23, 2020",11,-33.33%,-42.86%,Kiribati,4
FM,"February 23, 2020",8,0.00%,-63.16%,Micronesia (Federated States of),7
FJ,"February 23, 2020",2,-26.71%,-11.42%,Fiji,225
WS,"February 24, 2020",4,-8.70%,-38.24%,Samoa,21
VU,"February 24, 2020",3,-1.49%,11.86%,Vanuatu,66
TV,"February 24, 2020",12,50.00%,0.00%,Tuvalu,3
TO,"February 24, 2020",7,0.00%,-63.64%,Tonga,12
SB,"February 24, 2020",6,-11.11%,-23.81%,Solomon Islands,16
PW,"February 24, 2020",5,11.11%,-9.09%,Palau,20
PG,"February 24, 2020",1,-3.63%,36.25%,Papua New Guinea,451
NR,"February 24, 2020",9,20.00%,-14.29%,Nauru,6
MH,"February 24, 2020",10,-16.67%,-44.44%,Marshall Islands (the),5
KI,"February 24, 2020",11,-50.00%,-57.14%,Kiribati,3
FM,"February 24, 2020",8,0.00%,-56.25%,Micronesia (Federated States of),7
FJ,"February 24, 2020",2,-28.43%,-14.06%,Fiji,214
WS,"February 25, 2020",4,-4.35%,-33.33%,Samoa,22
VU,"February 25, 2020",3,-2.99%,1.56%,Vanuatu,65
TV,"February 25, 2020",12,50.00%,0.00%,Tuvalu,3
TO,"February 25, 2020",7,8.33%,-61.76%,Tonga,13
SB,"February 25, 2020",6,-5.88%,-23.81%,Solomon Islands,16
PW,"February 25, 2020",5,5.26%,-4.76%,Palau,20
PG,"February 25, 2020",1,-5.56%,36.00%,Papua New Guinea,442
NR,"February 25, 2020",9,0.00%,-14.29%,Nauru,6
MH,"February 25, 2020",10,-16.67%,-28.57%,Marshall Islands (the),5
KI,"February 25, 2020",11,-20.00%,-42.86%,Kiribati,4
FM,"February 25, 2020",8,0.00%,-46.15%,Micronesia (Federated States of),7
FJ,"February 25, 2020",2,-30.87%,-17.27%,Fiji,206
WS,"February 26, 2020",5,-13.04%,-41.18%,Samoa,20
VU,"February 26, 2020",3,-5.88%,-1.54%,Vanuatu,64
TV,"February 26, 2020",11,300.00%,33.33%,Tuvalu,4
TO,"February 26, 2020",7,8.33%,-60.61%,Tonga,13
SB,"February 26, 2020",6,6.25%,-22.73%,Solomon Islands,17
PW,"February 26, 2020",4,5.26%,0.00%,Palau,20
PG,"February 26, 2020",1,-5.15%,34.35%,Papua New Guinea,442
NR,"February 26, 2020",9,16.67%,-12.50%,Nauru,7
MH,"February 26, 2020",10,-16.67%,-37.50%,Marshall Islands (the),5
KI,"February 26, 2020",12,-25.00%,-62.50%,Kiribati,3
FM,"February 26, 2020",8,0.00%,-56.25%,Micronesia (Federated States of),7
FJ,"February 26, 2020",2,-33.22%,-23.23%,Fiji,195
WS,"February 27, 2020",6,-25.00%,-45.45%,Samoa,18
VU,"February 27, 2020",3,-5.88%,-4.48%,Vanuatu,64
TV,"February 27, 2020",11,300.00%,33.33%,Tuvalu,4
TO,"February 27, 2020",7,27.27%,-54.84%,Tonga,14
SB,"February 27, 2020",5,28.57%,-18.18%,Solomon Islands,18
PW,"February 27, 2020",4,5.26%,5.26%,Palau,20
PG,"February 27, 2020",1,-5.53%,40.06%,Papua New Guinea,444
NR,"February 27, 2020",9,-14.29%,-33.33%,Nauru,6
MH,"February 27, 2020",10,-16.67%,-28.57%,Marshall Islands (the),5
KI,"February 27, 2020",12,-25.00%,-62.50%,Kiribati,3
FM,"February 27, 2020",8,0.00%,-56.25%,Micronesia (Federated States of),7
FJ,"February 27, 2020",2,-27.68%,-24.03%,Fiji,196
WS,"February 28, 2020",4,20.00%,-27.27%,Samoa,24
VU,"February 28, 2020",3,-2.99%,-2.99%,Vanuatu,65
TV,"February 28, 2020",11,300.00%,33.33%,Tuvalu,4
TO,"February 28, 2020",7,8.33%,-60.61%,Tonga,13
SB,"February 28, 2020",6,46.15%,-9.52%,Solomon Islands,19
PW,"February 28, 2020",5,0.00%,0.00%,Palau,20
PG,"February 28, 2020",1,-4.78%,38.61%,Papua New Guinea,438
NR,"February 28, 2020",10,-16.67%,-37.50%,Nauru,5
MH,"February 28, 2020",9,0.00%,-14.29%,Marshall Islands (the),6
KI,"February 28, 2020",12,-25.00%,-62.50%,Kiribati,3
FM,"February 28, 2020",8,0.00%,-50.00%,Micronesia (Federated States of),7
FJ,"February 28, 2020",2,-23.74%,-25.19%,Fiji,196
WS,"February 29, 2020",4,9.52%,-30.30%,Samoa,23
VU,"February 29, 2020",3,-1.49%,-1.49%,Vanuatu,66
TV,"February 29, 2020",12,50.00%,0.00%,Tuvalu,3
TO,"February 29, 2020",7,8.33%,-60.61%,Tonga,13
SB,"February 29, 2020",6,18.75%,-9.52%,Solomon Islands,19
PW,"February 29, 2020",5,0.00%,0.00%,Palau,20
PG,"February 29, 2020",1,-9.32%,35.44%,Papua New Guinea,428
NR,"February 29, 2020",10,20.00%,-25.00%,Nauru,6
MH,"February 29, 2020",9,40.00%,0.00%,Marshall Islands (the),7
KI,"February 29, 2020",11,-25.00%,-62.50%,Kiribati,3
FM,"February 29, 2020",8,0.00%,-50.00%,Micronesia (Federated States of),7
FJ,"February 29, 2020",2,-18.52%,-24.43%,Fiji,198
WS,"March 1, 2020",4,-4.55%,-36.36%,Samoa,21
VU,"March 1, 2020",3,1.49%,0.00%,Vanuatu,68
TV,"March 1, 2020",12,50.00%,0.00%,Tuvalu,3
TO,"March 1, 2020",7,16.67%,-58.82%,Tonga,14
SB,"March 1, 2020",6,18.75%,-5.00%,Solomon Islands,19
PW,"March 1, 2020",5,0.00%,0.00%,Palau,20
PG,"March 1, 2020",1,-5.62%,37.85%,Papua New Guinea,437
NR,"March 1, 2020",10,20.00%,-25.00%,Nauru,6
MH,"March 1, 2020",9,40.00%,-12.50%,Marshall Islands (the),7
KI,"March 1, 2020",11,-25.00%,-62.50%,Kiribati,3
FM,"March 1, 2020",8,0.00%,-53.33%,Micronesia (Federated States of),7
FJ,"March 1, 2020",2,-12.89%,-26.59%,Fiji,196
WS,"March 2, 2020",4,14.29%,-27.27%,Samoa,24
VU,"March 2, 2020",3,6.06%,2.94%,Vanuatu,70
TV,"March 2, 2020",12,0.00%,0.00%,Tuvalu,3
TO,"March 2, 2020",7,16.67%,-60.00%,Tonga,14
SB,"March 2, 2020",6,25.00%,5.26%,Solomon Islands,20
PW,"March 2, 2020",5,0.00%,5.26%,Palau,20
PG,"March 2, 2020",1,-0.22%,46.10%,Papua New Guinea,450
NR,"March 2, 2020",10,-16.67%,-37.50%,Nauru,5
MH,"March 2, 2020",9,40.00%,0.00%,Marshall Islands (the),7
KI,"March 2, 2020",11,0.00%,-62.50%,Kiribati,3
FM,"March 2, 2020",8,0.00%,-66.67%,Micronesia (Federated States of),7
FJ,"March 2, 2020",2,-7.01%,-26.84%,Fiji,199
WS,"March 3, 2020",4,9.09%,-22.58%,Samoa,24
VU,"March 3, 2020",3,7.69%,2.94%,Vanuatu,70
TV,"March 3, 2020",11,0.00%,0.00%,Tuvalu,3
TO,"March 3, 2020",7,-15.38%,-68.57%,Tonga,11
SB,"March 3, 2020",6,18.75%,0.00%,Solomon Islands,19
PW,"March 3, 2020",5,0.00%,11.11%,Palau,20
PG,"March 3, 2020",1,6.56%,55.45%,Papua New Guinea,471
NR,"March 3, 2020",10,-33.33%,-42.86%,Nauru,4
MH,"March 3, 2020",9,40.00%,-22.22%,Marshall Islands (the),7
KI,"March 3, 2020",12,-75.00%,-87.50%,Kiribati,1
FM,"March 3, 2020",8,0.00%,-70.83%,Micronesia (Federated States of),7
FJ,"March 3, 2020",2,-6.31%,-31.07%,Fiji,193
WS,"March 4, 2020",4,15.00%,-28.13%,Samoa,23
VU,"March 4, 2020",3,15.63%,13.85%,Vanuatu,74
TV,"March 4, 2020",12,-25.00%,0.00%,Tuvalu,3
TO,"March 4, 2020",7,-15.38%,-66.67%,Tonga,11
SB,"March 4, 2020",6,17.65%,11.11%,Solomon Islands,20
PW,"March 4, 2020",5,0.00%,11.11%,Palau,20
PG,"March 4, 2020",1,6.79%,64.46%,Papua New Guinea,472
NR,"March 4, 2020",11,-57.14%,-57.14%,Nauru,3
MH,"March 4, 2020",9,40.00%,-30.00%,Marshall Islands (the),7
KI,"March 4, 2020",10,0.00%,-62.50%,Kiribati,3
FM,"March 4, 2020",8,0.00%,-73.08%,Micronesia (Federated States of),7
FJ,"March 4, 2020",2,-3.08%,-33.92%,Fiji,189
WS,"March 5, 2020",4,22.22%,-29.03%,Samoa,22
VU,"March 5, 2020",3,17.19%,22.95%,Vanuatu,75
TV,"March 5, 2020",12,-25.00%,0.00%,Tuvalu,3
TO,"March 5, 2020",7,-14.29%,-64.71%,Tonga,12
SB,"March 5, 2020",6,11.11%,5.26%,Solomon Islands,20
PW,"March 5, 2020",5,0.00%,5.26%,Palau,20
PG,"March 5, 2020",1,5.18%,63.86%,Papua New Guinea,467
NR,"March 5, 2020",11,-50.00%,-57.14%,Nauru,3
MH,"March 5, 2020",9,40.00%,-30.00%,Marshall Islands (the),7
KI,"March 5, 2020",10,0.00%,-57.14%,Kiribati,3
FM,"March 5, 2020",8,0.00%,-70.83%,Micronesia (Federated States of),7
FJ,"March 5, 2020",2,-4.08%,-34.04%,Fiji,188
WS,"March 6, 2020",6,-25.00%,-40.00%,Samoa,18
VU,"March 6, 2020",3,15.38%,27.12%,Vanuatu,75
TV,"March 6, 2020",12,-25.00%,0.00%,Tuvalu,3
TO,"March 6, 2020",7,-7.69%,-68.42%,Tonga,12
SB,"March 6, 2020",5,0.00%,0.00%,Solomon Islands,19
PW,"March 6, 2020",4,0.00%,11.11%,Palau,20
PG,"March 6, 2020",1,10.73%,66.10%,Papua New Guinea,485
NR,"March 6, 2020",11,-40.00%,-57.14%,Nauru,3
MH,"March 6, 2020",9,0.00%,-45.45%,Marshall Islands (the),6
KI,"March 6, 2020",10,33.33%,-42.86%,Kiribati,4
FM,"March 6, 2020",8,0.00%,-70.83%,Micronesia (Federated States of),7
FJ,"March 6, 2020",2,-3.06%,-33.10%,Fiji,190
WS,"March 7, 2020",5,-17.39%,-38.71%,Samoa,19
VU,"March 7, 2020",3,9.09%,24.14%,Vanuatu,72
TV,"March 7, 2020",11,0.00%,0.00%,Tuvalu,3
TO,"March 7, 2020",7,0.00%,-63.89%,Tonga,13
SB,"March 7, 2020",6,-5.26%,-5.26%,Solomon Islands,18
PW,"March 7, 2020",4,-5.00%,11.76%,Palau,19
PG,"March 7, 2020",1,12.85%,62.63%,Papua New Guinea,483
NR,"March 7, 2020",12,-66.67%,-75.00%,Nauru,2
MH,"March 7, 2020",9,-14.29%,-45.45%,Marshall Islands (the),6
KI,"March 7, 2020",10,33.33%,-42.86%,Kiribati,4
FM,"March 7, 2020",8,0.00%,-73.08%,Micronesia (Federated States of),7
FJ,"March 7, 2020",2,-5.56%,-32.73%,Fiji,187
WS,"March 8, 2020",4,-4.76%,-31.03%,Samoa,20
VU,"March 8, 2020",3,-4.41%,14.04%,Vanuatu,65
TV,"March 8, 2020",11,0.00%,0.00%,Tuvalu,3
TO,"March 8, 2020",7,-7.14%,-62.86%,Tonga,13
SB,"March 8, 2020",6,-5.26%,-10.00%,Solomon Islands,18
PW,"March 8, 2020",5,-5.00%,11.76%,Palau,19
PG,"March 8, 2020",1,11.21%,68.17%,Papua New Guinea,486
NR,"March 8, 2020",12,-66.67%,-75.00%,Nauru,2
MH,"March 8, 2020",9,-14.29%,-50.00%,Marshall Islands (the),6
KI,"March 8, 2020",10,33.33%,-42.86%,Kiribati,4
FM,"March 8, 2020",8,0.00%,-72.00%,Micronesia (Federated States of),7
FJ,"March 8, 2020",2,-1.53%,-30.58%,Fiji,193
WS,"March 9, 2020",6,-29.17%,-41.38%,Samoa,17
VU,"March 9, 2020",3,-10.00%,10.53%,Vanuatu,63
TV,"March 9, 2020",11,0.00%,0.00%,Tuvalu,3
TO,"March 9, 2020",7,-7.14%,-61.76%,Tonga,13
SB,"March 9, 2020",5,-10.00%,-10.00%,Solomon Islands,18
PW,"March 9, 2020",4,-5.00%,11.76%,Palau,19
PG,"March 9, 2020",1,9.11%,65.88%,Papua New Guinea,491
NR,"March 9, 2020",12,-60.00%,-75.00%,Nauru,2
MH,"March 9, 2020",9,-14.29%,-50.00%,Marshall Islands (the),6
