,Date,Country,Seats_arrivals_intl,Number_of_flights_intl
373,2020-01-09,Papua New Guinea,1537,7
374,2020-01-10,Papua New Guinea,1144,4
375,2020-01-11,Papua New Guinea,1619,9
376,2020-01-12,Papua New Guinea,827,4
377,2020-01-13,Papua New Guinea,1722,10
378,2020-01-14,Papua New Guinea,1041,5
379,2020-01-15,Papua New Guinea,1242,7
380,2020-01-16,Papua New Guinea,1542,6
381,2020-01-17,Papua New Guinea,1144,4
382,2020-01-18,Papua New Guinea,1619,9
383,2020-01-19,Papua New Guinea,914,4
384,2020-01-20,Papua New Guinea,1678,9
385,2020-01-21,Papua New Guinea,1167,4
386,2020-01-22,Papua New Guinea,980,6
387,2020-01-23,Papua New Guinea,1166,5
388,2020-01-24,Papua New Guinea,1188,5
389,2020-01-25,Papua New Guinea,1339,8
390,2020-01-26,Papua New Guinea,738,4
391,2020-01-27,Papua New Guinea,1706,9
392,2020-01-28,Papua New Guinea,993,4
393,2020-01-29,Papua New Guinea,1261,8
394,2020-01-30,Papua New Guinea,1210,5
395,2020-01-31,Papua New Guinea,1160,4
396,2020-02-01,Papua New Guinea,1185,8
397,2020-02-02,Papua New Guinea,1088,6
398,2020-02-03,Papua New Guinea,1591,8
399,2020-02-04,Papua New Guinea,965,4
400,2020-02-05,Papua New Guinea,1292,5
401,2020-02-06,Papua New Guinea,1239,6
402,2020-02-07,Papua New Guinea,1101,4
403,2020-02-08,Papua New Guinea,1316,8
404,2020-02-09,Papua New Guinea,919,4
405,2020-02-10,Papua New Guinea,1489,7
406,2020-02-11,Papua New Guinea,893,4
407,2020-02-12,Papua New Guinea,1095,4
408,2020-02-13,Papua New Guinea,1067,5
409,2020-02-14,Papua New Guinea,1317,6
410,2020-02-15,Papua New Guinea,1316,8
411,2020-02-16,Papua New Guinea,661,3
412,2020-02-17,Papua New Guinea,1618,7
413,2020-02-18,Papua New Guinea,993,4
414,2020-02-19,Papua New Guinea,1283,5
415,2020-02-20,Papua New Guinea,1198,5
416,2020-02-21,Papua New Guinea,1113,4
417,2020-02-22,Papua New Guinea,1316,8
418,2020-02-23,Papua New Guinea,791,3
419,2020-02-24,Papua New Guinea,1450,6
420,2020-02-25,Papua New Guinea,1096,4
421,2020-02-26,Papua New Guinea,1281,6
422,2020-02-27,Papua New Guinea,1415,6
423,2020-02-28,Papua New Guinea,1201,4
424,2020-02-29,Papua New Guinea,1282,8
425,2020-03-01,Papua New Guinea,870,4
426,2020-03-02,Papua New Guinea,1356,6
427,2020-03-03,Papua New Guinea,909,4
428,2020-03-04,Papua New Guinea,995,4
429,2020-03-05,Papua New Guinea,1176,7
430,2020-03-06,Papua New Guinea,1116,4
431,2020-03-07,Papua New Guinea,1138,8
432,2020-03-08,Papua New Guinea,791,3
433,2020-03-09,Papua New Guinea,1436,6
434,2020-03-10,Papua New Guinea,793,3
435,2020-03-11,Papua New Guinea,1255,5
436,2020-03-12,Papua New Guinea,1169,6
437,2020-03-13,Papua New Guinea,1091,3
438,2020-03-14,Papua New Guinea,1127,6
439,2020-03-15,Papua New Guinea,790,3
440,2020-03-16,Papua New Guinea,1334,6
441,2020-03-17,Papua New Guinea,765,3
442,2020-03-18,Papua New Guinea,1080,5
443,2020-03-19,Papua New Guinea,1076,6
444,2020-03-20,Papua New Guinea,1093,4
445,2020-03-21,Papua New Guinea,960,5
446,2020-03-22,Papua New Guinea,743,3
447,2020-03-23,Papua New Guinea,828,3
448,2020-03-24,Papua New Guinea,857,2
449,2020-03-25,Papua New Guinea,581,3
450,2020-03-26,Papua New Guinea,376,2
451,2020-03-27,Papua New Guinea,367,3
452,2020-03-28,Papua New Guinea,448,3
453,2020-03-29,Papua New Guinea,138,1
454,2020-03-30,Papua New Guinea,405,3
455,2020-03-31,Papua New Guinea,188,1
456,2020-04-01,Papua New Guinea,565,4
457,2020-04-02,Papua New Guinea,376,2
458,2020-04-03,Papua New Guinea,261,2
459,2020-04-04,Papua New Guinea,188,1
460,2020-04-05,Papua New Guinea,225,2
461,2020-04-06,Papua New Guinea,437,3
462,2020-04-07,Papua New Guinea,188,1
463,2020-04-08,Papua New Guinea,376,2
464,2020-04-09,Papua New Guinea,376,2
465,2020-04-10,Papua New Guinea,144,1
466,2020-04-11,Papua New Guinea,376,2
467,2020-04-12,Papua New Guinea,0,0
468,2020-04-13,Papua New Guinea,188,1
469,2020-04-14,Papua New Guinea,188,1
470,2020-04-15,Papua New Guinea,376,2
471,2020-04-16,Papua New Guinea,376,2
472,2020-04-17,Papua New Guinea,261,2
473,2020-04-18,Papua New Guinea,376,2
474,2020-04-19,Papua New Guinea,0,0
475,2020-04-20,Papua New Guinea,298,2
476,2020-04-21,Papua New Guinea,188,1
477,2020-04-22,Papua New Guinea,0,0
478,2020-04-23,Papua New Guinea,0,0
479,2020-04-24,Papua New Guinea,74,1
480,2020-04-25,Papua New Guinea,48,1
481,2020-04-26,Papua New Guinea,0,0
482,2020-04-27,Papua New Guinea,376,2
483,2020-04-28,Papua New Guinea,260,2
484,2020-04-29,Papua New Guinea,492,3
485,2020-04-30,Papua New Guinea,413,3
486,2020-05-01,Papua New Guinea,261,2
487,2020-05-02,Papua New Guinea,384,3
488,2020-05-03,Papua New Guinea,304,2
489,2020-05-04,Papua New Guinea,298,2
490,2020-05-05,Papua New Guinea,188,1
491,2020-05-06,Papua New Guinea,376,2
492,2020-05-07,Papua New Guinea,376,2
493,2020-05-08,Papua New Guinea,261,2
494,2020-05-09,Papua New Guinea,376,2
495,2020-05-10,Papua New Guinea,37,1
496,2020-05-11,Papua New Guinea,477,3
497,2020-05-12,Papua New Guinea,224,2
498,2020-05-13,Papua New Guinea,376,2
499,2020-05-14,Papua New Guinea,520,3
500,2020-05-15,Papua New Guinea,325,2
501,2020-05-16,Papua New Guinea,376,2
502,2020-05-17,Papua New Guinea,116,1
503,2020-05-18,Papua New Guinea,297,2
504,2020-05-19,Papua New Guinea,188,1
505,2020-05-20,Papua New Guinea,376,2
506,2020-05-21,Papua New Guinea,376,2
507,2020-05-22,Papua New Guinea,261,2
508,2020-05-23,Papua New Guinea,424,2
509,2020-05-24,Papua New Guinea,74,1
510,2020-05-25,Papua New Guinea,188,1
511,2020-05-26,Papua New Guinea,188,1
512,2020-05-27,Papua New Guinea,376,2
513,2020-05-28,Papua New Guinea,376,2
514,2020-05-29,Papua New Guinea,225,2
515,2020-05-30,Papua New Guinea,376,2
516,2020-05-31,Papua New Guinea,37,1
517,2020-06-01,Papua New Guinea,261,2
518,2020-06-02,Papua New Guinea,188,1
519,2020-06-03,Papua New Guinea,376,2
520,2020-06-04,Papua New Guinea,413,3
521,2020-06-05,Papua New Guinea,332,2
522,2020-06-06,Papua New Guinea,376,2
523,2020-06-07,Papua New Guinea,224,2
524,2020-06-08,Papua New Guinea,261,2
525,2020-06-09,Papua New Guinea,188,1
526,2020-06-10,Papua New Guinea,188,1
527,2020-06-11,Papua New Guinea,186,3
528,2020-06-12,Papua New Guinea,144,1
529,2020-06-13,Papua New Guinea,116,1
530,2020-06-14,Papua New Guinea,109,1
531,2020-06-15,Papua New Guinea,73,1
532,2020-06-16,Papua New Guinea,296,3
533,2020-06-17,Papua New Guinea,413,3
534,2020-06-18,Papua New Guinea,492,3
535,2020-06-19,Papua New Guinea,225,2
536,2020-06-20,Papua New Guinea,424,3
537,2020-06-21,Papua New Guinea,181,2
538,2020-06-22,Papua New Guinea,333,2
539,2020-06-23,Papua New Guinea,188,1
540,2020-06-24,Papua New Guinea,376,2
541,2020-06-25,Papua New Guinea,564,3
542,2020-06-26,Papua New Guinea,374,3
543,2020-06-27,Papua New Guinea,376,2
544,2020-06-28,Papua New Guinea,37,1
545,2020-06-29,Papua New Guinea,261,2
546,2020-06-30,Papua New Guinea,236,2
547,2020-07-01,Papua New Guinea,376,2
548,2020-07-02,Papua New Guinea,376,2
549,2020-07-03,Papua New Guinea,188,1
550,2020-07-04,Papua New Guinea,413,3
551,2020-07-05,Papua New Guinea,37,1
552,2020-07-06,Papua New Guinea,261,2
553,2020-07-07,Papua New Guinea,188,1
554,2020-07-08,Papua New Guinea,376,2
555,2020-07-09,Papua New Guinea,385,3
556,2020-07-10,Papua New Guinea,297,2
557,2020-07-11,Papua New Guinea,448,3
558,2020-07-12,Papua New Guinea,37,1
559,2020-07-13,Papua New Guinea,261,2
560,2020-07-14,Papua New Guinea,188,1
561,2020-07-15,Papua New Guinea,376,2
562,2020-07-16,Papua New Guinea,376,2
563,2020-07-17,Papua New Guinea,335,3
564,2020-07-18,Papua New Guinea,376,2
565,2020-07-19,Papua New Guinea,37,1
566,2020-07-20,Papua New Guinea,362,3
567,2020-07-21,Papua New Guinea,188,1
568,2020-07-22,Papua New Guinea,376,2
569,2020-07-23,Papua New Guinea,413,3
570,2020-07-24,Papua New Guinea,260,2
