,Date,Country,Seats_arrivals_intl,Number_of_flights_intl
315,2019-11-12,Micronesia (Federated States of),292.0,2.0
316,2019-11-13,Micronesia (Federated States of),0.0,0.0
317,2019-11-14,Micronesia (Federated States of),166.0,1.0
318,2019-11-15,Micronesia (Federated States of),166.0,1.0
319,2019-11-16,Micronesia (Federated States of),491.0,3.0
320,2019-11-17,Micronesia (Federated States of),166.0,1.0
321,2019-11-18,Micronesia (Federated States of),166.0,1.0
322,2019-11-19,Micronesia (Federated States of),292.0,2.0
323,2019-11-20,Micronesia (Federated States of),0.0,0.0
324,2019-11-21,Micronesia (Federated States of),166.0,1.0
325,2019-11-22,Micronesia (Federated States of),0.0,0.0
326,2019-11-23,Micronesia (Federated States of),491.0,3.0
327,2019-11-24,Micronesia (Federated States of),166.0,1.0
328,2019-11-25,Micronesia (Federated States of),0.0,0.0
329,2019-11-26,Micronesia (Federated States of),332.0,2.0
330,2019-11-27,Micronesia (Federated States of),0.0,0.0
331,2019-11-28,Micronesia (Federated States of),166.0,1.0
332,2019-11-29,Micronesia (Federated States of),0.0,0.0
333,2019-11-30,Micronesia (Federated States of),491.0,3.0
334,2019-12-01,Micronesia (Federated States of),166.0,1.0
335,2019-12-02,Micronesia (Federated States of),0.0,0.0
336,2019-12-03,Micronesia (Federated States of),332.0,2.0
337,2019-12-04,Micronesia (Federated States of),0.0,0.0
338,2019-12-05,Micronesia (Federated States of),166.0,1.0
339,2019-12-06,Micronesia (Federated States of),0.0,0.0
340,2019-12-07,Micronesia (Federated States of),531.0,3.0
341,2019-12-08,Micronesia (Federated States of),166.0,1.0
342,2019-12-09,Micronesia (Federated States of),0.0,0.0
343,2019-12-10,Micronesia (Federated States of),292.0,2.0
344,2019-12-11,Micronesia (Federated States of),0.0,0.0
345,2019-12-12,Micronesia (Federated States of),166.0,1.0
346,2019-12-13,Micronesia (Federated States of),0.0,0.0
347,2019-12-14,Micronesia (Federated States of),571.0,3.0
348,2019-12-15,Micronesia (Federated States of),0.0,0.0
349,2019-12-16,Micronesia (Federated States of),0.0,0.0
350,2019-12-17,Micronesia (Federated States of),166.0,1.0
351,2019-12-18,Micronesia (Federated States of),166.0,1.0
352,2019-12-19,Micronesia (Federated States of),166.0,1.0
353,2019-12-20,Micronesia (Federated States of),0.0,0.0
354,2019-12-21,Micronesia (Federated States of),531.0,3.0
355,2019-12-22,Micronesia (Federated States of),166.0,1.0
356,2019-12-23,Micronesia (Federated States of),166.0,1.0
357,2019-12-24,Micronesia (Federated States of),332.0,2.0
358,2019-12-25,Micronesia (Federated States of),0.0,0.0
359,2019-12-26,Micronesia (Federated States of),166.0,1.0
360,2019-12-27,Micronesia (Federated States of),0.0,0.0
361,2019-12-28,Micronesia (Federated States of),571.0,3.0
362,2019-12-29,Micronesia (Federated States of),166.0,1.0
363,2019-12-30,Micronesia (Federated States of),0.0,0.0
364,2019-12-31,Micronesia (Federated States of),292.0,2.0
365,2020-01-01,Micronesia (Federated States of),0.0,0.0
366,2020-01-02,Micronesia (Federated States of),166.0,1.0
367,2020-01-03,Micronesia (Federated States of),0.0,0.0
368,2020-01-04,Micronesia (Federated States of),531.0,3.0
369,2020-01-05,Micronesia (Federated States of),166.0,1.0
370,2020-01-06,Micronesia (Federated States of),0.0,0.0
371,2020-01-07,Micronesia (Federated States of),292.0,2.0
372,2020-01-08,Micronesia (Federated States of),0.0,0.0
373,2020-01-09,Micronesia (Federated States of),166.0,1.0
374,2020-01-10,Micronesia (Federated States of),0.0,0.0
